#Energy (MeV), XS (cm2)
21.020,1.996E-43
22.449,2.850E-43
23.878,4.071E-43
24.898,5.465E-43
26.531,7.685E-43
27.551,1.016E-42
28.163,1.322E-42
29.184,1.694E-42
30.408,2.137E-42
31.633,2.739E-42
32.653,3.350E-42
33.878,4.162E-42
35.102,5.251E-42
36.122,6.626E-42
38.163,9.317E-42
40.000,1.251E-41
41.633,1.628E-41
43.878,2.152E-41
45.918,2.800E-41
47.755,3.644E-41
49.592,4.527E-41
51.837,5.712E-41
53.878,6.987E-41
56.327,8.680E-41
58.367,1.062E-40
60.816,1.319E-40
63.265,1.589E-40
65.918,1.943E-40
68.776,2.377E-40
71.837,2.908E-40
75.102,3.448E-40
77.959,4.089E-40
80.612,4.774E-40
83.469,5.489E-40
86.531,6.311E-40
89.388,7.368E-40
92.653,8.471E-40
96.122,9.590E-40
99.592,1.102E-39
103.469,1.229E-39
106.939,1.370E-39