# Electron Neutrino Energy (MeV) ,Cross Section (cm2)
15.4,0.000
16,3.190E-45
17,6.390E-45
18,9.620E-45
19,2.720E-44
20,4.480E-44
21,6.240E-44
22,1.190E-43
23,1.750E-43
24,4.150E-43
25,5.390E-43
26,7.000E-43
27,8.610E-43
28,1.022E-42
29,1.414E-42
30,1.807E-42
31,2.199E-42
32,2.751E-42
33,3.542E-42
34,4.332E-42
35,5.123E-42
36,6.302E-42
37,7.579E-42
38,8.856E-42
39,1.027E-41
40,1.221E-41
41,1.416E-41
42,1.611E-41
43,1.856E-41
44,2.136E-41
45,2.416E-41
46,2.696E-41
47,3.102E-41
48,3.508E-41
49,3.914E-41
50,4.368E-41
51,4.895E-41
52,5.422E-41
53,5.948E-41
54,6.628E-41
55,7.346E-41
56,8.064E-41
57,8.826E-41
58,9.771E-41
59,1.071E-40
60,1.166E-40
61,1.261E-40
62,1.356E-40
63,1.451E-40
64,1.546E-40
65,1.673E-40
66,1.799E-40
67,1.926E-40
68,2.062E-40
69,2.213E-40
70,2.364E-40
71,2.515E-40
72,2.680E-40
73,2.849E-40
74,3.017E-40
75,3.194E-40
76,3.408E-40
77,3.622E-40
78,3.836E-40
79,4.057E-40
80,4.284E-40
81,4.511E-40
82,4.738E-40
83,4.995E-40
84,5.251E-40
85,5.507E-40
86,5.775E-40
87,6.061E-40
88,6.347E-40
89,6.634E-40
90,6.944E-40
91,7.261E-40
92,7.576E-40
93,7.897E-40
94,8.239E-40
95,8.581E-40
96,8.922E-40
97,9.278E-40
98,9.642E-40
99,1.001E-39
100,1.037E-39
101,1.069E-39
102,1.102E-39
103,1.134E-39
104,1.168E-39
105,1.205E-39
106,1.242E-39
107,1.279E-39
108,1.319E-39
109,1.361E-39
110,1.402E-39
111,1.445E-39
112,1.490E-39
113,1.536E-39
114,1.582E-39
115,1.632E-39